query	CLBRsugg	agreechar	agreecharIntersect	agreecharUnion	chinesesoundex	dlevpynchar	dlevpyncharUnits	lengthdiffn	lengthsubstminGT3	levroman	levromanUnits	levtaiwanchar	levtaiwancharUnits	pq12min	pq21max	q1bidded	q2hasroman	tok	tok12	wordr
ezpeer轉mp3	fairuse4wm	0.214285714285714	3	14	0.285714285714286	1	10	0	1	1	10	1	1	999999999	999999999	0	1	2	0	1
fairuse4wm 1.3	fairuse4wm	0.714285714285714	10	14	0.375	0.285714285714286	4	0.285714285714286	1	0.285714285714286	4	0	0	999999999	999999999	0	1	3	1	0.666666666666667
drmgui	fairuse4wm	0.333333333333333	4	12	0.4	0.9	9	0.4	1	0.9	9	0	0	999999999	999999999	0	1	2	0	1
取得媒體使用權限	fairuse4wm	0	0	18	0.545454545454545	1	10	0.2	1	1	10	1	8	999999999	999999999	0	1	2	0	1
破解音樂保護	fairuse4wm	0	0	16	0.285714285714286	1	10	0.4	1	1	10	1	6	999999999	999999999	0	1	2	0	1
移除drm	fairuse4wm	0.153846153846154	2	13	0.2	0.8	8	0.5	1	0.8	8	1	2	999999999	999999999	0	1	2	0	1
移除 drm	fairuse4wm	0.142857142857143	2	14	0.2	0.9	9	0.4	1	0.8	8	1	2	999999999	999999999	0	1	3	0	1
媒體使用權限	fairuse4wm	0	0	16	0.444444444444444	1	10	0.4	1	1	10	1	6	999999999	999999999	0	1	2	0	1
cotex	gotex	0.666666666666667	4	6	0	0.2	1	0	1	0.2	1	0	0	999999999	999999999	0	1	2	0	1
willem dafoe	james franco	0.4	6	15	0	0.833333333333333	10	0	1	0.833333333333333	10	0	0	999999999	999999999	0	1	4	0	1
詹姆斯法蘭克	james franco	0	0	17	0.25	1	12	0.5	1	1	12	1	6	999999999	999999999	0	1	3	0	1
詹姆士法蘭科	james franco	0	0	17	0.25	1	12	0.5	1	1	12	1	6	999999999	999999999	0	1	3	0	1
黑澀會妹妹代言	knights bridge	0	0	18	0.111111111111111	1	14	0.5	1	1	14	1	7	999999999	999999999	0	1	3	0	1
kb 服飾專櫃	knights bridge	0.1875	3	16	0.222222222222222	0.857142857142857	12	0.5	1	0.857142857142857	12	1	4	999999999	999999999	0	1	4	0	1
kb 服飾網址	knights bridge	0.1875	3	16	0.222222222222222	0.857142857142857	12	0.5	1	0.857142857142857	12	1	4	999999999	999999999	0	1	4	0	1
黑澀會妹妹代言的衣服	knights bridge	0	0	21	0.181818181818182	1	14	0.285714285714286	1	1	14	1	10	999999999	999999999	0	1	3	0	1
黑澀會美眉代言的牌子	knights bridge	0	0	22	0.181818181818182	1	14	0.285714285714286	1	1	14	1	10	999999999	999999999	0	1	3	0	1
黑色會妹妹代言	knights bridge	0	0	18	0.111111111111111	1	14	0.5	1	1	14	1	7	999999999	999999999	0	1	3	0	1
kinghts	knights bridge	0.583333333333333	7	12	0.333333333333333	0.642857142857143	9	0.5	1	0.642857142857143	9	0	0	999999999	999999999	0	1	3	0	1
黑色會妹妹代言服飾	knights bridge	0	0	20	0.1	1	14	0.357142857142857	1	1	14	1	9	999999999	999999999	0	1	3	0	1
王心凌 kb 服飾	knights bridge	0.176470588235294	3	17	0.1	0.928571428571429	13	0.357142857142857	1	0.928571428571429	13	1	5	999999999	999999999	0	1	5	0	1
luan伴侶	luan	0.666666666666667	4	6	0.666666666666667	0.333333333333333	2	0.333333333333333	1	0	0	1	2	999999999	999999999	0	1	2	0	1
luan戰士	luan	0.666666666666667	4	6	0.6	0.333333333333333	2	0.333333333333333	1	0	0	1	2	999999999	999999999	0	1	2	0	1
kuan	luan	0.6	3	5	0	0.25	1	0	1	0.25	1	0	0	999999999	999999999	0	1	2	0	1
lluan	luan	1	4	4	0.333333333333333	0.2	1	0.2	1	0.2	1	0	0	999999999	999999999	0	1	2	0	1
luan透視鏡	luan	0.571428571428571	4	7	0.666666666666667	0.428571428571429	3	0.428571428571429	1	0	0	1	3	999999999	999999999	0	1	2	0	1
luan暴力美學	luan	0.5	4	8	0.666666666666667	0.5	4	0.5	1	0	0	1	4	999999999	999999999	0	1	2	0	1
luan攻略	luan	0.666666666666667	4	6	0.666666666666667	0.333333333333333	2	0.333333333333333	1	0	0	1	2	999999999	999999999	0	1	2	0	1
luan麻糬工坊	luan	0.5	4	8	0.75	0.5	4	0.5	1	0	0	1	4	999999999	999999999	0	1	2	0	1
luanonline	luan	0.571428571428571	4	7	0.6	0.6	6	0.6	1	0.6	6	0	0	999999999	999999999	0	1	2	0	1
ｌｕａｎ	luan	0	0	8	0.833333333333333	1	12	0	1	1	4	1	4	999999999	999999999	0	1	2	0	1
